"No.","Time","Time Diff","Source","Destination","Protocol","Length","Info"
"268","0.096562","0.000055","70.206.185.185","192.168.2.3","UDP","62","14704  >  80 Len=20"
"269","0.096959","0.000397","235.109.36.85","192.168.2.3","UDP","62","14705  >  80 Len=20"
"270","0.096996","0.000037","93.24.104.53","192.168.2.3","UDP","62","14706  >  80 Len=20"
"271","0.097136","0.000140","47.119.19.8","192.168.2.3","UDP","62","14707  >  80 Len=20"
"272","0.097192","0.000056","144.106.163.70","192.168.2.3","UDP","62","14708  >  80 Len=20"
"273","0.097398","0.000206","125.143.213.42","192.168.2.3","UDP","62","14709  >  80 Len=20"
"274","0.097452","0.000054","159.252.204.220","192.168.2.3","UDP","62","14710  >  80 Len=20"
"275","0.097630","0.000178","224.200.16.203","192.168.2.3","UDP","62","14711  >  80 Len=20"
"276","0.097667","0.000037","211.109.101.14","192.168.2.3","UDP","62","14712  >  80 Len=20"
"277","0.097882","0.000215","186.53.181.33","192.168.2.3","UDP","62","14713  >  80 Len=20"
"278","0.097931","0.000049","202.200.86.42","192.168.2.3","UDP","62","14714  >  80 Len=20"
"279","0.098027","0.000096","137.70.103.161","192.168.2.3","UDP","62","14716  >  80 Len=20"
"280","0.098210","0.000183","81.151.85.68","192.168.2.3","UDP","62","14717  >  80 Len=20"
"281","0.098264","0.000054","148.239.111.121","192.168.2.3","UDP","62","14718  >  80 Len=20"
"282","0.098399","0.000135","57.206.57.202","192.168.2.3","UDP","62","14719  >  80 Len=20"
"283","0.098451","0.000052","52.165.21.215","192.168.2.3","UDP","62","14720  >  80 Len=20"
"284","0.098640","0.000189","36.179.181.78","192.168.2.3","UDP","62","14721  >  80 Len=20"
"285","0.098692","0.000052","111.187.28.60","192.168.2.3","UDP","62","14722  >  80 Len=20"
"286","0.098890","0.000198","58.23.180.0","192.168.2.3","UDP","62","14723  >  80 Len=20"
"287","0.098947","0.000057","206.83.72.67","192.168.2.3","UDP","62","14724  >  80 Len=20"
"288","0.099101","0.000154","106.185.52.185","192.168.2.3","UDP","62","14725  >  80 Len=20"
